TIME FRAME,GEOGRAPHY,BRAND,DESCRIPTION,UPC,# of Stores,# of Stores Selling,Dollars,Units,ARP,Average Weekly Dollars,Average Weekly Units,Average Weekly Dollars Per Store Selling Per Item,Average Weekly Units Per Store Selling Per Item
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Of Maine Strwbrry Child Toothpste 5.1oz,00-35000-97123,"1,965.0","1,731.0","$58,801.31","12,318.0",$4.77,"$58,801.31","12,318.0",$33.97,7.1
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Of Maine Strwbrry Child Toothpste 5.1oz,00-35000-97122,"1,965.0",665.9,"$7,406.73","1,538.0",$4.82,"$7,406.73","1,538.0",$11.12,2.3
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Of Maine Toddler Training Tthpste 1.75oz,00-77326-83377,"1,965.0","1,748.1","$24,408.69","6,530.0",$3.74,"$24,408.69","6,530.0",$13.96,3.7
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Of Maine Wckd Cl Mld Mnt Tthpaste 5.1 Oz,00-35000-97120,"1,965.0","1,599.9","$25,198.36","5,161.0",$4.88,"$25,198.36","5,161.0",$15.75,3.2
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Peppermint Whole Care Toothpaste 4 Oz,00-77326-47017,"1,965.0",715.1,"$8,784.69","1,544.0",$5.69,"$8,784.69","1,544.0",$12.29,2.2
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Pepprmnt Antplq Whtnng Tthpst 4.5oz(3pk),08-27854-01377,"1,965.0","1,726.1","$87,017.22","6,453.0",$13.48,"$87,017.22","6,453.0",$50.42,3.7
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Pepprmnt Whl Cre Flrd Tthpaste 4oz (2pk),00-35000-98520,"1,965.0","1,686.0","$55,296.80","5,696.0",$9.71,"$55,296.80","5,696.0",$32.80,3.4
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Rapid Relief Snstve Tthpste 4oz,00-77326-83562,"1,965.0",1.0,$54.01,9.0,$6.00,$54.01,9.0,$54.01,9.0
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Toms Spearmint Whole Care Toothpaste 4 Oz,00-77326-47018,"1,965.0",1.0,$19.98,2.0,$9.99,$19.98,2.0,$19.98,2.0
1 Week End 02/02/2025,TARGET CORP - RMA,TOMS OF MAINE,Tomtd Md#76 Ntrl Tpst Ss 1.75oz,27-00712-70417,"1,965.0",1.0,$2.35,1.0,$2.35,$2.35,1.0,$2.35,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,AQUAFRESH,+aexcl Reg Whacv Tpst Ss  16.8oz,00-53100-29150,"1,965.0","1,819.0","$67,333.30","8,592.0",$7.84,"$67,333.30","8,592.0",$37.02,4.7
1 Week End 02/09/2025,TARGET CORP - RMA,ARM & HAMMER,+ahccr Frsmt Wgc#2 Tpst Ss  12oz,00-33200-97543,"1,965.0","1,271.9","$34,235.70","4,867.0",$7.03,"$34,235.70","4,867.0",$26.91,3.8
1 Week End 02/09/2025,TARGET CORP - RMA,ARM & HAMMER,+amha8 Iic#9 Wabfr Tpst Ss  11oz,00-33200-97673,"1,965.0",458.0,"$5,784.67",722.0,$8.01,"$5,784.67",722.0,$12.63,1.6
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Acfrs Atcvt Tpst   11.4oz,00-30772-00217,"1,965.0",2.0,$25.98,2.0,$12.99,$25.98,2.0,$12.99,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Acfrs Atcvt Tpst Ss 3.8oz,00-37000-81995,"1,965.0",53.1,$356.52,71.0,$5.02,$356.52,71.0,$6.73,1.3
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Acfrs Atcvt Tpst Ss 7.6oz,00-37000-82024,"1,965.0",6.1,$55.29,6.0,$9.22,$55.29,6.0,$9.22,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Chrcl Atcvt Tpst Ss 3.8oz,00-37000-84414,"1,965.0",15.9,$128.64,26.0,$4.95,$128.64,26.0,$8.04,1.6
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Chrcl Atcvt Tpst Ss 7.6oz,00-37000-84416,"1,965.0",3.0,$44.56,5.0,$8.91,$44.56,5.0,$14.85,1.7
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Chrcl Whacv Tpst Ss 9.2oz,00-30772-11625,"1,965.0","1,358.0","$40,724.58","2,737.0",$14.88,"$40,724.58","2,737.0",$29.99,2.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Dlm#1 Aswac Tpst Ss 2.1oz,00-30772-16187,"1,965.0","1,726.1","$68,300.50","7,650.0",$8.93,"$68,300.50","7,650.0",$39.57,4.4
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Dlm#1 Aswac Tpst Ss 3.1oz,00-30772-16189,"1,965.0","1,438.0","$56,559.33","4,621.0",$12.24,"$56,559.33","4,621.0",$39.33,3.2
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Iclmn Aepas Tpst Ss 3.8oz,00-30772-10316,"1,965.0","1,896.0","$41,781.95","10,647.0",$3.92,"$41,781.95","10,647.0",$22.04,5.6
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Iclmn Aepas Tpst Ss 4.4oz,00-30772-08486,"1,965.0",9.0,$51.02,12.0,$4.25,$51.02,12.0,$5.67,1.3
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Iclmn Aepas Tpst Ss 7.6oz,00-30772-13009,"1,965.0","1,648.1","$33,335.67","4,770.0",$6.99,"$33,335.67","4,770.0",$20.23,2.9
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Iclmn Atcvt Tpst Ss 3.1oz,00-37000-80907,"1,965.0",1.0,$2.99,1.0,$2.99,$2.99,1.0,$2.99,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Ivmnt Whacv Tpst Ss 2.4oz,00-30772-05373,"1,965.0","1,825.1","$32,291.11","6,390.0",$5.05,"$32,291.11","6,390.0",$17.69,3.5
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Ivmnt Whacv Tpst Ss 4.6oz,00-30772-11263,"1,965.0","1,491.0","$32,670.51","3,662.0",$8.92,"$32,670.51","3,662.0",$21.91,2.5
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh N/av Aswac Tpst Ss  4.1oz,00-30772-11280,"1,965.0","1,758.1","$44,299.44","8,872.0",$4.99,"$44,299.44","8,872.0",$25.20,5.1
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh N/av Waepr Tpst Ss  3.8oz,00-30772-11253,"1,965.0","1,810.9","$61,133.49","6,884.0",$8.88,"$61,133.49","6,884.0",$33.76,3.8
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Rnm#3 Atcvt Tpst   11.4oz,00-30772-00038,"1,965.0",1.0,$12.99,1.0,$12.99,$12.99,1.0,$12.99,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Rnm#3 Atcvt Tpst Ss 2.7oz,00-37000-80973,"1,965.0",1.0,$3.67,1.0,$3.67,$3.67,1.0,$3.67,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Rnm#3 Atcvt Tpst Ss 7.6oz,00-37000-81092,"1,965.0",2.0,$26.80,3.0,$8.93,$26.80,3.0,$13.40,1.5
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3dwh Rnm#3 Whacv Tpst Ss 3.8oz,00-37000-81027,"1,965.0",3.0,$20.00,4.0,$5.00,$20.00,4.0,$6.67,1.3
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wad Chrcl Aepas Tpst   13.2oz,00-30772-12559,"1,965.0","1,666.9","$45,822.89","5,117.0",$8.96,"$45,822.89","5,117.0",$27.49,3.1
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wad Chrcl Aepas Tpst Ss 3.3oz,00-30772-12560,"1,965.0","1,769.1","$32,679.04","6,559.0",$4.98,"$32,679.04","6,559.0",$18.47,3.7
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wad Frsmt Waepr Tpst Ss   3oz,00-30772-05387,"1,965.0","1,629.0","$30,707.56","6,218.0",$4.94,"$30,707.56","6,218.0",$18.85,3.8
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wad Vrp#7 Awssf Tpst   13.8oz,00-30772-11628,"1,965.0","1,100.0","$36,544.92","1,948.0",$18.76,"$36,544.92","1,948.0",$33.22,1.8
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr Crwmn Aepas Tpst Ss 4.6oz,00-30772-11279,"1,965.0","1,032.0","$18,342.62","2,309.0",$7.94,"$18,342.62","2,309.0",$17.77,2.2
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr Crwmn Aswac Tpst Ss 3.5oz,00-30772-05378,"1,965.0",2.0,$4.41,5.0,$0.88,$4.41,5.0,$2.21,2.5
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr Crwmn Aswac Tpst Ss 4.6oz,00-30772-11265,"1,965.0","1,669.1","$45,662.60","5,138.0",$8.89,"$45,662.60","5,138.0",$27.36,3.1
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr L#190 Aswac Tpst Ss 4.6oz,00-30772-11264,"1,965.0","1,744.9","$54,263.92","6,108.0",$8.88,"$54,263.92","6,108.0",$31.10,3.5
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr N/av Aepas Tpst Ss  3.9oz,00-30772-11276,"1,965.0","1,602.1","$40,275.80","4,528.0",$8.89,"$40,275.80","4,528.0",$25.14,2.8
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr N/av Aswac Tpst Ss  2.1oz,00-30772-16188,"1,965.0","1,805.1","$103,282.97","11,590.0",$8.91,"$103,282.97","11,590.0",$57.22,6.4
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr N/av Aswac Tpst Ss  3.1oz,00-30772-16191,"1,965.0","1,737.1","$93,043.54","7,636.0",$12.18,"$93,043.54","7,636.0",$53.57,4.4
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr Pmint Atcvt Tpst Ss 3.9oz,00-37000-21930,"1,965.0",1.0,$6.99,1.0,$6.99,$6.99,1.0,$6.99,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr Vrp#7 Aepas Tpst   10.5oz,00-30772-06058,"1,965.0",2.0,$29.70,2.0,$14.85,$29.70,2.0,$14.85,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr Vrp#7 Aepas Tpst Ss 3.5oz,00-30772-05375,"1,965.0",1.0,$6.99,1.0,$6.99,$6.99,1.0,$6.99,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+c3wbr Vrp#7 Aswac Tpst Ss 9.2oz,00-30772-11627,"1,965.0","1,504.0","$48,774.34","3,296.0",$14.80,"$48,774.34","3,296.0",$32.43,2.2
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+ccvpr Reg Cavpr Tpst Ss  17.1oz,00-37000-12277,"1,965.0","1,911.0","$62,533.70","12,655.0",$4.94,"$62,533.70","12,655.0",$32.72,6.6
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+clgt3 N/av Aasep Tpst Tbibx 6oz,00-35000-99577,"1,965.0","1,445.1","$44,091.85","3,393.0",$12.99,"$44,091.85","3,393.0",$30.51,2.4
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+clgt3 N/av Aepas Tpst Tbibx 3oz,00-35000-99338,"1,965.0","1,662.0","$43,895.35","5,562.0",$7.89,"$43,895.35","5,562.0",$26.41,3.4
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cmrs4 Stb Atcvt Tpst Ss   4.2oz,00-37000-55570,"1,965.0","1,787.0","$18,578.15","7,508.0",$2.47,"$18,578.15","7,508.0",$10.40,4.2
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cmxfr Colmt Whacv Tpst   18.9oz,00-35000-99699,"1,965.0","1,427.0","$38,883.71","5,181.0",$7.51,"$38,883.71","5,181.0",$27.25,3.6
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cmxfr Mnt Atcvt Tpst Ss   6.3oz,08-27854-00008,"1,965.0","1,654.9","$50,640.65","6,643.0",$7.62,"$50,640.65","6,643.0",$30.60,4.0
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+colgt Bubfr Atcvt Tpst Ss 4.6oz,08-27854-00424,"1,965.0",1.0,$11.77,3.0,$3.92,$11.77,3.0,$11.77,3.0
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+colgt Reg A#792 Tpst Ss   4.8oz,00-35000-98492,"1,965.0",1.0,$15.87,3.0,$5.29,$15.87,3.0,$15.87,3.0
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+copwh Colmt Atcvt Tpst Ss 4.2oz,00-35000-97872,"1,965.0","1,558.1","$27,206.18","4,517.0",$6.02,"$27,206.18","4,517.0",$17.46,2.9
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+copwh N/av Sacsr Tpst Ss  4.2oz,08-27854-00600,"1,965.0",1.0,$5.49,1.0,$5.49,$5.49,1.0,$5.49,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+copwh N/av Waepr Tpst Ss  3.2oz,00-35000-99530,"1,965.0","1,541.0","$37,486.16","6,199.0",$6.05,"$37,486.16","6,199.0",$24.33,4.0
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cowad Reg Aepas Tpst Ss   9.6oz,00-35000-97230,"1,965.0","1,791.1","$104,528.88","7,993.0",$13.08,"$104,528.88","7,993.0",$58.36,4.5
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cowad Reg Whacv Tpst Tb   9.6oz,00-35000-97226,"1,965.0","1,310.1","$44,123.14","3,193.0",$13.82,"$44,123.14","3,193.0",$33.68,2.4
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cowad Spkmn Waepr Tpst   1.45oz,00-35000-97271,"1,965.0","1,867.0","$87,188.67","34,415.0",$2.53,"$87,188.67","34,415.0",$46.70,18.4
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cowrn #5312 Aepas Tpst Ss   3oz,08-27854-01199,"1,965.0",1.0,$7.99,1.0,$7.99,$7.99,1.0,$7.99,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cowrn N/av Aepas Tpst Tbibx 3oz,08-27854-01200,"1,965.0","1,800.9","$58,067.58","7,315.0",$7.94,"$58,067.58","7,315.0",$32.24,4.1
1 Week End 02/09/2025,TARGET CORP - RMA,COLGATE,+cowrn N/av Aepas Tpst Tbibx 6oz,08-27854-01226,"1,965.0","1,013.9","$23,316.87","2,092.0",$11.15,"$23,316.87","2,092.0",$22.99,2.1
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cphgd Dpcl1 A#792 Tpst Ss 2.6oz,00-30772-06185,"1,965.0","1,671.0","$27,879.22","5,430.0",$5.13,"$27,879.22","5,430.0",$16.68,3.3
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cphgd Dpcl1 A#792 Tpst Ss 9.6oz,00-30772-11359,"1,965.0","1,414.0","$44,931.52","3,049.0",$14.74,"$44,931.52","3,049.0",$31.78,2.2
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cphgd N/av Wanan Tpst Ss  4.8oz,00-30772-11269,"1,965.0","1,402.0","$31,160.07","3,525.0",$8.84,"$31,160.07","3,525.0",$22.23,2.5
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl Clnmt Cs*16 Tpst   17.2oz,00-30772-05885,"1,965.0","1,891.9","$79,920.13","11,555.0",$6.92,"$79,920.13","11,555.0",$42.24,6.1
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl Clnmt Cs*16 Tpst Ss   3oz,00-30772-10168,"1,965.0","1,021.0","$27,713.13","8,473.0",$3.27,"$27,713.13","8,473.0",$27.14,8.3
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl Dpcl1 Aa#19 Tpst Ss 2.5oz,00-30772-06201,"1,965.0",947.9,"$30,868.41","6,106.0",$5.06,"$30,868.41","6,106.0",$32.56,6.4
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl N/av A#792 Tpst Ss  4.6oz,00-30772-11568,"1,965.0","1,581.0","$38,201.54","4,324.0",$8.83,"$38,201.54","4,324.0",$24.16,2.7
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl N/av Aagep Tpst Ss  4.8oz,00-30772-11270,"1,965.0","1,615.0","$39,710.34","4,490.0",$8.84,"$39,710.34","4,490.0",$24.59,2.8
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl N/av Cs*16 Tpst Ss  8.6oz,00-30772-11950,"1,965.0",673.0,"$9,696.77","1,609.0",$6.03,"$9,696.77","1,609.0",$14.41,2.4
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl N/av Gaspt Tpst Ss  4.3oz,00-30772-11924,"1,965.0","1,833.0","$37,557.22","9,525.0",$3.94,"$37,557.22","9,525.0",$20.49,5.2
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cprhl N/av Saagn Tpst Ss  4.8oz,00-30772-11284,"1,965.0","1,563.9","$40,612.47","4,617.0",$8.80,"$40,612.47","4,617.0",$25.97,3.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+crest Reg Wanan Tpst Ss   3.7oz,00-37000-64967,"1,965.0",1.0,$15.98,2.0,$7.99,$15.98,2.0,$15.98,2.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+cswh1 Frsmt Whacv Tpst   17.1oz,00-37000-12220,"1,965.0","1,920.0","$64,247.97","13,036.0",$4.93,"$64,247.97","13,036.0",$33.46,6.8
1 Week End 02/09/2025,TARGET CORP - RMA,HELLO,+hell3 Fpnch Atcvt Tpst Ss 4.2oz,08-19156-02363,"1,965.0",2.0,$19.71,4.0,$4.93,$19.71,4.0,$9.86,2.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+kscrs Bblgm Actrc Tpst Ss 8.4oz,00-30772-13112,"1,965.0","1,429.9","$25,601.15","3,420.0",$7.49,"$25,601.15","3,420.0",$17.90,2.4
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+kscrs Bubbl Whacv Tpst Ss 4.2oz,00-30772-05715,"1,965.0","1,823.9","$33,305.07","8,345.0",$3.99,"$33,305.07","8,345.0",$18.26,4.6
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,+kscrs Stb Waepr Tpst Ss   4.1oz,00-30772-01684,"1,965.0","1,592.0","$24,064.05","5,791.0",$4.16,"$24,064.05","5,791.0",$15.12,3.6
1 Week End 02/09/2025,TARGET CORP - RMA,MADE BY DENTISTS,+mdba4 Frsmt Whacv Tpst Ss 4.2oz,08-50031-97070,"1,965.0","1,129.1","$15,206.05","2,180.0",$6.98,"$15,206.05","2,180.0",$13.47,1.9
1 Week End 02/09/2025,TARGET CORP - RMA,MADE BY DENTISTS,+mdba4 Frsmt Whacv Tpst Ss 4.2oz,08-50031-97071,"1,965.0",898.0,"$11,862.63","1,709.0",$6.94,"$11,862.63","1,709.0",$13.21,1.9
1 Week End 02/09/2025,TARGET CORP - RMA,MADE BY DENTISTS,+mdba4 N/av Whacv Tpst Tbibx 4oz,08-50031-97064,"1,965.0",164.1,"$1,061.25",255.0,$4.16,"$1,061.25",255.0,$6.47,1.6
1 Week End 02/09/2025,TARGET CORP - RMA,MADE BY DENTISTS,+mdba4 Reg Whacv Tpst Ss   4.2oz,08-50031-97072,"1,965.0","1,024.0","$12,342.16","1,775.0",$6.95,"$12,342.16","1,775.0",$12.05,1.7
1 Week End 02/09/2025,TARGET CORP - RMA,NATIVE,+ntive Wmpol Ancvf Tpst Ss 4.1oz,00-37000-60615,"1,965.0",912.9,"$11,708.77","1,876.0",$6.24,"$11,708.77","1,876.0",$12.82,2.1
1 Week End 02/09/2025,TARGET CORP - RMA,NATIVE,+ntive Wmpol N/av Tpst Ss  4.1oz,00-37000-60616,"1,965.0","1,878.9","$74,173.20","10,645.0",$6.97,"$74,173.20","10,645.0",$39.47,5.7
1 Week End 02/09/2025,TARGET CORP - RMA,ORAJEL,+ojkds Ntbry Whacv Tpst Ss 4.2oz,03-10310-99899,"1,965.0","1,833.9","$22,733.70","8,874.0",$2.56,"$22,733.70","8,874.0",$12.40,4.8
1 Week End 02/09/2025,TARGET CORP - RMA,PARODONTAX,+pdntx Clnmt Aa#19 Tpst Ss 3.4oz,00-53100-74887,"1,965.0","1,826.1","$55,463.62","7,955.0",$6.97,"$55,463.62","7,955.0",$30.37,4.4
1 Week End 02/09/2025,TARGET CORP - RMA,PARODONTAX,+pdntx Frsmt Aa#19 Tpst Ss 3.4oz,00-53100-88771,"1,965.0",918.1,"$21,080.42","3,081.0",$6.84,"$21,080.42","3,081.0",$22.96,3.4
1 Week End 02/09/2025,TARGET CORP - RMA,PARODONTAX,+pdntx Frsmt Aagrw Tpst Ss 3.4oz,00-53100-88770,"1,965.0",25.0,$194.11,28.0,$6.93,$194.11,28.0,$7.76,1.1
1 Week End 02/09/2025,TARGET CORP - RMA,PARODONTAX,+pdntx N/av Aagrw Tpst Ss  6.8oz,00-53100-74908,"1,965.0","1,403.0","$37,647.08","3,029.0",$12.43,"$37,647.08","3,029.0",$26.83,2.2
1 Week End 02/09/2025,TARGET CORP - RMA,PARODONTAX,+pdntx Pf#27 Wanan Tpst Ss 6.8oz,00-53100-12212,"1,965.0","1,345.0","$38,449.97","3,066.0",$12.54,"$38,449.97","3,066.0",$28.59,2.3
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sndyn Colmt Ewsan Tpst Ss  12oz,03-10158-35748,"1,965.0","1,536.0","$83,782.63","4,777.0",$17.54,"$83,782.63","4,777.0",$54.55,3.1
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sndyn Mnt Acsep Tpst Ss   6.8oz,03-10158-35889,"1,965.0","1,711.9","$68,799.99","5,520.0",$12.46,"$68,799.99","5,520.0",$40.19,3.2
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sndyn Mnt Sagep Tpst Ss  10.2oz,03-10158-35895,"1,965.0",1.0,$34.98,2.0,$17.49,$34.98,2.0,$34.98,2.0
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sndyn Mnt Sagep Tpst Ss  10.2oz,03-10158-35697,"1,965.0",1.0,$19.59,1.0,$19.59,$19.59,1.0,$19.59,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sndyn Reg Gaspt Tpst Ss   3.4oz,03-10158-26689,"1,965.0","1,681.1","$69,087.91","5,543.0",$12.46,"$69,087.91","5,543.0",$41.10,3.3
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sndyn Reg Waabf Tpst Ss   3.4oz,03-10158-26149,"1,965.0","1,911.0","$94,052.83","13,543.0",$6.94,"$94,052.83","13,543.0",$49.22,7.1
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sprrp Acb*2 Acsep Tpst Ss 6.8oz,03-10158-88766,"1,965.0","1,808.0","$127,983.85","10,277.0",$12.45,"$127,983.85","10,277.0",$70.79,5.7
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sprrp Reg Waepr Tpst Ss   3.4oz,03-10158-88763,"1,965.0","1,943.0","$134,036.72","19,237.0",$6.97,"$134,036.72","19,237.0",$68.98,9.9
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sprrp Xfrsh Acsep Tpst Ss 6.8oz,03-10158-88767,"1,965.0","1,651.0","$68,811.21","5,522.0",$12.46,"$68,811.21","5,522.0",$41.68,3.3
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+ssng1 Mnt Saagn Tpst Ss   3.4oz,03-10158-88764,"1,965.0",1.0,$8.69,1.0,$8.69,$8.69,1.0,$8.69,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+ssng1 Reg Snwha Tpst Ss   3.4oz,03-10158-88765,"1,965.0",7.1,$48.52,8.0,$6.07,$48.52,8.0,$6.93,1.1
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sspr3 Acb*2 Acsep Tpst   10.2oz,03-10158-35892,"1,965.0",1.0,$17.49,1.0,$17.49,$17.49,1.0,$17.49,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sspr3 Colmt Senac Tpst Ss 3.4oz,03-10158-35688,"1,965.0",1.0,$7.49,1.0,$7.49,$7.49,1.0,$7.49,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sspr3 Colmt Wtnng Tpst Ss 6.8oz,03-10158-35844,"1,965.0","1,582.0","$58,124.90","4,670.0",$12.45,"$58,124.90","4,670.0",$36.74,3.0
1 Week End 02/09/2025,TARGET CORP - RMA,SENSODYNE,+sspr3 Frsmt Senac Tpst Ss 3.4oz,03-10158-35691,"1,965.0","1,663.0","$44,333.40","6,371.0",$6.96,"$44,333.40","6,371.0",$26.66,3.8
1 Week End 02/09/2025,TARGET CORP - RMA,ACT,Act Kids Wild Watermelon Toothpaste 4.6 Oz,00-41167-09242,"1,965.0",3.0,$20.57,6.0,$3.43,$20.57,6.0,$6.86,2.0
1 Week End 02/09/2025,TARGET CORP - RMA,ARM & HAMMER,Ar&hp Frsmt Actrc Tpst Ss 12oz,00-33200-00127,"1,965.0","1,889.0","$65,786.09","9,339.0",$7.04,"$65,786.09","9,339.0",$34.83,4.9
1 Week End 02/09/2025,TARGET CORP - RMA,ARM & HAMMER,Arm & Ham Xtr-w Tpaste W/fl Tb 6 Oz,00-33200-18626,"1,965.0","1,845.9","$40,202.92","9,514.0",$4.23,"$40,202.92","9,514.0",$21.78,5.2
1 Week End 02/09/2025,TARGET CORP - RMA,ARM & HAMMER,Arm & Hammer Advncd White Tthpste 6 Oz (2 Ct),00-33200-18013,"1,965.0","1,926.1","$96,184.77","13,623.0",$7.06,"$96,184.77","13,623.0",$49.94,7.1
1 Week End 02/09/2025,TARGET CORP - RMA,ARM & HAMMER,Arm & Hammer Xtra Whitening Tthpst 6 Oz,00-33200-18053,"1,965.0",1.0,$4.19,1.0,$4.19,$4.19,1.0,$4.19,1.0
1 Week End 02/09/2025,TARGET CORP - RMA,ACT,Atkd1 Bgm#3 Atcvt Tpst Ss 4.6oz,00-41167-09422,"1,965.0","1,832.0","$27,261.25","8,716.0",$3.13,"$27,261.25","8,716.0",$14.88,4.8
1 Week End 02/09/2025,TARGET CORP - RMA,BURTS BEES,Burts Bees Complete Multi Care Toothpst 4.7oz,00-30772-05922,"1,965.0",1.0,$8.48,2.0,$4.24,$8.48,2.0,$8.48,2.0
1 Week End 02/09/2025,TARGET CORP - RMA,CREST,C3dwh Acfrs Aepas Tpst Ss 4.1oz,00-37000-40028,"1,965.0",1.0,$4.99,1.0,$4.99,$4.99,1.0,$4.99,1.0
